CycleNo,Navg
2,-5701.810000
19,-5701.810000
22,-5742.454121
25,-5705.087466
29,-5703.152782
37,-5706.629064
41,-5712.377214
42,-5822.560959
46,-5758.817200
48,-5711.415034
49,-5711.010397
51,-5740.312786
59,-5774.955587
60,-5708.996016
62,-5713.372649
67,-5785.922051
70,-5480.851225
71,-5769.129951
74,-5726.665687
83,-5735.246543
84,-5731.754219
93,-5783.236084
94,-5844.404005
97,-5862.425680
98,-5777.186090
99,-5908.234818
107,-5730.037391
108,-5725.733873
119,-5737.293216
123,-4780.557504
124,-5773.655535
136,-5723.805736
138,-5821.742513
144,-6020.082557
147,-5809.728893
151,-5796.928865
156,-5799.619884
158,-5824.646461
160,-5821.068324
167,-5645.165572
169,-5882.036119
170,-5938.095217
171,-5777.221520
175,-5945.681158
177,-5991.913526
198,-6217.566143
199,-6138.017086
201,-5756.132615
215,-5887.606406
219,-6134.192994
227,-5943.728039
229,-5627.794950
231,-5858.617610
232,-5946.108884
234,-6069.060146
235,-5924.455856
236,-5847.374885
256,-4354.531038
267,-6089.952915
275,-5742.947074
279,-6109.241383
292,-3993.531843
293,-6314.538417
302,-6045.048050
306,-6285.491004
308,-5032.942529
312,-5609.552487
313,-4112.931822
321,-6154.052225
324,-6076.180529
338,-6052.666946
354,-6052.436806
355,-6021.682352
357,-3587.789263
362,-5967.449460
363,-5936.158142
364,-6146.699863
367,-5164.225168
372,-6080.786373
384,-6166.752978
388,-6138.578963
406,-4578.667527
412,-6105.948391
421,-6070.767108
426,-6145.553779
430,-6022.360343
440,-5968.403513
449,-6105.782563
453,-6052.867666
467,-6135.030942
473,-6189.998506
475,-4457.459331
476,-5099.510857
479,-6153.159053
480,-5689.483412
483,-6296.040376
488,-5429.102155
490,-3825.268270
497,-6179.961027
510,-5725.759785
520,-5313.961986
525,-6135.832929
529,-3973.511487
536,-3959.120740
549,-6206.576199
562,-6404.432403
568,-3961.515890
569,-4621.828639
573,-6117.816537
574,-5809.582663
576,-5741.390451
581,-6061.297707
601,-4041.246611
620,-6151.287518
621,-6428.818685
624,-6381.323498
632,-6442.682387
647,-6019.191649
667,-6317.718259
716,-5279.950474
738,-6664.690830
744,-5307.165223
745,-5054.874713
770,-6171.525081
772,-6147.540042
794,-6063.276698
797,-6193.062840
802,-6292.413708
806,-6257.725217
810,-3573.721259
820,-3884.993902
824,-6488.917614
836,-3124.471821
876,-5610.148728
889,-6428.047310
905,-5290.734593
909,-4372.621160
917,-3808.496218
927,-3870.900481
943,-4981.639637
945,-6177.383725
954,-6604.272448
966,-6119.207674
978,-6157.659006
979,-5814.453361
1009,-3800.844989
1014,-6371.313666
1015,-6638.771430
1046,-6597.522777
1066,-6408.996892
1112,-4001.464930
1114,-3754.375595
1117,-6237.408304
1134,-6343.782480
1143,-6347.316553
1162,-6463.670390
1166,-6199.717799
1169,-4086.473917
1174,-4269.533069
1194,-3770.668670
1200,-4964.659555
1201,-6025.543376
1204,-5670.369978
1259,-4115.572973
1270,-3949.863897
1301,-5788.156750
1338,-4046.331890
1362,-4046.331890
1369,-5678.276082
1375,-6510.666152
1396,-4937.969622
1397,-6185.208955
1522,-5767.362490
1564,-6395.950922
1594,-5894.901097
1602,-6402.048784
1626,-5416.124501
1634,-4218.728284
1636,-6576.120418
1657,-6233.530671
1704,-3006.544300
1714,-6533.018286
1789,-4424.178919
1806,-6417.162996
1841,-3594.998278
1886,-3594.998278
