U_0 = -1924.089005 A , d_sites = 5.000000 A
N_sites = 256. L = 28.280000 A
N_trials = 51200 , N_equil = 10240
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.056,0.034
213.880000,1.247,0.758
417.750000,2.394,1.456
621.620000,3.666,2.229
825.500000,4.879,2.967
1029.360000,6.246,3.798
1233.230000,7.498,4.559
1437.100000,8.886,5.403
1640.960000,10.131,6.160
1844.820000,11.821,7.188
2048.680000,13.125,7.980
2252.540000,14.410,8.762
2456.400000,16.104,9.792
2660.250000,17.964,10.923
2864.100000,19.250,11.705
3067.950000,21.267,12.931
3271.800000,23.254,14.139
3475.650000,24.792,15.074
3679.500000,26.748,16.264
3883.340000,27.808,16.908
4087.180000,30.082,18.291
4291.020000,32.660,19.858
4494.860000,34.013,20.681
4698.690000,36.189,22.005
4902.530000,40.048,24.351
5106.360000,40.455,24.598
5310.190000,43.384,26.379
5514.020000,46.409,28.219
5717.850000,47.851,29.095
5921.670000,53.006,32.230
6125.490000,54.198,32.955
6329.310000,57.192,34.775
6533.130000,62.051,37.730
6736.950000,66.623,40.509
6940.770000,67.398,40.980
7144.580000,76.460,46.491
7348.390000,79.324,48.232
7552.200000,84.842,51.587
7756.010000,84.474,51.363
7959.820000,92.221,56.074
8163.620000,101.613,61.785
8367.420000,108.630,66.051
8571.220000,122.316,74.373
8775.020000,128.357,78.046
8978.820000,134.865,82.003
9182.620000,180.578,109.798
9386.410000,184.898,112.425
9590.200000,228.163,138.732
9793.990000,242.860,147.668
9997.780000,253.033,153.854
