U_0 = -1202.555628 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.005,0.003
213.880000,0.111,0.067
417.750000,0.213,0.129
621.620000,0.324,0.197
825.500000,0.429,0.261
1029.360000,0.519,0.316
1233.230000,0.624,0.380
1437.100000,0.735,0.447
1640.960000,0.848,0.516
1844.820000,0.947,0.576
2048.680000,1.048,0.637
2252.540000,1.167,0.709
2456.400000,1.240,0.754
2660.250000,1.375,0.836
2864.100000,1.448,0.880
3067.950000,1.574,0.957
3271.800000,1.680,1.022
3475.650000,1.756,1.068
3679.500000,1.884,1.146
3883.340000,1.976,1.201
4087.180000,2.079,1.264
4291.020000,2.179,1.325
4494.860000,2.292,1.394
4698.690000,2.430,1.477
4902.530000,2.514,1.529
5106.360000,2.621,1.594
5310.190000,2.704,1.644
5514.020000,2.783,1.692
5717.850000,2.915,1.772
5921.670000,2.982,1.813
6125.490000,3.129,1.902
6329.310000,3.223,1.960
6533.130000,3.336,2.028
6736.950000,3.403,2.069
6940.770000,3.509,2.133
7144.580000,3.642,2.214
7348.390000,3.749,2.280
7552.200000,3.867,2.352
7756.010000,3.937,2.394
7959.820000,4.060,2.469
8163.620000,4.141,2.518
8367.420000,4.259,2.590
8571.220000,4.401,2.676
8775.020000,4.361,2.652
8978.820000,4.555,2.770
9182.620000,4.598,2.796
9386.410000,4.743,2.884
9590.200000,4.897,2.977
9793.990000,4.961,3.017
9997.780000,5.071,3.084
